run_id,budget,call_idx,action_type,eligible_count
hcr_H1_b100,100,74,DISCOVER_CORE,27
hcr_H1_b100,100,74,EXPLORE_UNCOVERED,25
hcr_H1_b100,100,75,DISCOVER_CORE,26
hcr_H1_b100,100,75,EXPLORE_UNCOVERED,25
hcr_H1_b100,100,76,DISCOVER_CORE,25
hcr_H1_b100,100,76,EXPLORE_UNCOVERED,25
hcr_H1_b100,100,77,DISCOVER_CORE,24
hcr_H1_b100,100,77,EXPLORE_UNCOVERED,25
hcr_H1_b100,100,78,DISCOVER_CORE,24
hcr_H1_b100,100,78,EXPLORE_UNCOVERED,25
hcr_H1_b100,100,79,DISCOVER_CORE,23
hcr_H1_b100,100,79,EXPLORE_UNCOVERED,25
hcr_H1_b100,100,80,DISCOVER_CORE,23
hcr_H1_b100,100,80,EXPLORE_UNCOVERED,25
hcr_H1_b100,100,81,DISCOVER_CORE,22
hcr_H1_b100,100,81,EXPLORE_UNCOVERED,25
hcr_H1_b100,100,82,DISCOVER_CORE,21
hcr_H1_b100,100,82,EXPLORE_UNCOVERED,25
hcr_H1_b100,100,83,DISCOVER_CORE,20
hcr_H1_b100,100,83,EXPLORE_UNCOVERED,25
hcr_H1_b100,100,84,DISCOVER_CORE,19
hcr_H1_b100,100,84,EXPLORE_UNCOVERED,25
hcr_H1_b100,100,85,DISCOVER_CORE,18
hcr_H1_b100,100,85,EXPLORE_UNCOVERED,25
hcr_H1_b100,100,86,DISCOVER_CORE,17
hcr_H1_b100,100,86,EXPLORE_UNCOVERED,25
hcr_H1_b100,100,87,DISCOVER_CORE,17
hcr_H1_b100,100,87,EXPLORE_UNCOVERED,25
hcr_H1_b100,100,88,DISCOVER_CORE,17
hcr_H1_b100,100,88,EXPLORE_UNCOVERED,25
hcr_H1_b100,100,89,DISCOVER_CORE,17
hcr_H1_b100,100,89,EXPLORE_UNCOVERED,25
hcr_H1_b100,100,90,DISCOVER_CORE,16
hcr_H1_b100,100,90,EXPLORE_UNCOVERED,25
hcr_H1_b100,100,91,DISCOVER_CORE,15
hcr_H1_b100,100,91,EXPLORE_UNCOVERED,25
hcr_H1_b100,100,92,DISCOVER_CORE,14
hcr_H1_b100,100,92,EXPLORE_UNCOVERED,25
hcr_H1_b100,100,93,DISCOVER_CORE,13
hcr_H1_b100,100,93,EXPLORE_UNCOVERED,25
hcr_H1_b100,100,94,DISCOVER_CORE,12
hcr_H1_b100,100,94,EXPLORE_UNCOVERED,25
hcr_H1_b100,100,95,DISCOVER_CORE,11
hcr_H1_b100,100,95,EXPLORE_UNCOVERED,25
hcr_H1_b100,100,96,DISCOVER_CORE,10
hcr_H1_b100,100,96,EXPLORE_UNCOVERED,25
hcr_H1_b100,100,97,DISCOVER_CORE,9
hcr_H1_b100,100,97,EXPLORE_UNCOVERED,25
hcr_H1_b100,100,98,DISCOVER_CORE,8
hcr_H1_b100,100,98,EXPLORE_UNCOVERED,25
hcr_H1_b100,100,99,DISCOVER_CORE,7
hcr_H1_b100,100,99,EXPLORE_UNCOVERED,25
hcr_H2_b005,5,0,DISCOVER_CORE,87
hcr_H2_b005,5,0,EXPLORE_UNCOVERED,25
hcr_H2_b005,5,1,DISCOVER_CORE,86
hcr_H2_b005,5,1,EXPLORE_UNCOVERED,25
hcr_H2_b005,5,2,DISCOVER_CORE,85
hcr_H2_b005,5,2,EXPLORE_UNCOVERED,25
hcr_H2_b005,5,3,DISCOVER_CORE,84
hcr_H2_b005,5,3,EXPLORE_UNCOVERED,25
hcr_H2_b005,5,4,DISCOVER_CORE,83
hcr_H2_b005,5,4,EXPLORE_UNCOVERED,25
hcr_H2_b010,10,0,DISCOVER_CORE,87
hcr_H2_b010,10,0,EXPLORE_UNCOVERED,25
hcr_H2_b010,10,1,DISCOVER_CORE,86
hcr_H2_b010,10,1,EXPLORE_UNCOVERED,25
hcr_H2_b010,10,2,DISCOVER_CORE,85
hcr_H2_b010,10,2,EXPLORE_UNCOVERED,25
hcr_H2_b010,10,3,DISCOVER_CORE,84
hcr_H2_b010,10,3,EXPLORE_UNCOVERED,25
hcr_H2_b010,10,4,DISCOVER_CORE,83
hcr_H2_b010,10,4,EXPLORE_UNCOVERED,25
hcr_H2_b010,10,5,DISCOVER_CORE,83
hcr_H2_b010,10,5,EXPLORE_UNCOVERED,25
hcr_H2_b010,10,6,DISCOVER_CORE,82
hcr_H2_b010,10,6,EXPLORE_UNCOVERED,25
hcr_H2_b010,10,7,DISCOVER_CORE,82
hcr_H2_b010,10,7,EXPLORE_UNCOVERED,25
hcr_H2_b010,10,8,DISCOVER_CORE,81
hcr_H2_b010,10,8,EXPLORE_UNCOVERED,25
hcr_H2_b010,10,9,DISCOVER_CORE,80
hcr_H2_b010,10,9,EXPLORE_UNCOVERED,25
hcr_H2_b020,20,0,DISCOVER_CORE,87
hcr_H2_b020,20,0,EXPLORE_UNCOVERED,25
hcr_H2_b020,20,1,DISCOVER_CORE,86
hcr_H2_b020,20,1,EXPLORE_UNCOVERED,25
hcr_H2_b020,20,2,DISCOVER_CORE,85
hcr_H2_b020,20,2,EXPLORE_UNCOVERED,25
hcr_H2_b020,20,3,DISCOVER_CORE,84
hcr_H2_b020,20,3,EXPLORE_UNCOVERED,25
hcr_H2_b020,20,4,DISCOVER_CORE,83
hcr_H2_b020,20,4,EXPLORE_UNCOVERED,25
hcr_H2_b020,20,5,DISCOVER_CORE,83
hcr_H2_b020,20,5,EXPLORE_UNCOVERED,25
hcr_H2_b020,20,6,DISCOVER_CORE,82
hcr_H2_b020,20,6,EXPLORE_UNCOVERED,25
hcr_H2_b020,20,7,DISCOVER_CORE,82
hcr_H2_b020,20,7,EXPLORE_UNCOVERED,25
hcr_H2_b020,20,8,DISCOVER_CORE,81
hcr_H2_b020,20,8,EXPLORE_UNCOVERED,25
hcr_H2_b020,20,9,DISCOVER_CORE,80
hcr_H2_b020,20,9,EXPLORE_UNCOVERED,25
hcr_H2_b020,20,10,DISCOVER_CORE,80
hcr_H2_b020,20,10,EXPLORE_UNCOVERED,25
hcr_H2_b020,20,11,DISCOVER_CORE,79
hcr_H2_b020,20,11,EXPLORE_UNCOVERED,25
hcr_H2_b020,20,12,DISCOVER_CORE,78
hcr_H2_b020,20,12,EXPLORE_UNCOVERED,25
hcr_H2_b020,20,13,DISCOVER_CORE,78
hcr_H2_b020,20,13,EXPLORE_UNCOVERED,25
hcr_H2_b020,20,14,DISCOVER_CORE,77
hcr_H2_b020,20,14,EXPLORE_UNCOVERED,25
hcr_H2_b020,20,15,DISCOVER_CORE,76
hcr_H2_b020,20,15,EXPLORE_UNCOVERED,25
hcr_H2_b020,20,16,DISCOVER_CORE,76
hcr_H2_b020,20,16,EXPLORE_UNCOVERED,25
hcr_H2_b020,20,17,DISCOVER_CORE,75
hcr_H2_b020,20,17,EXPLORE_UNCOVERED,25
hcr_H2_b020,20,18,DISCOVER_CORE,74
hcr_H2_b020,20,18,EXPLORE_UNCOVERED,25
hcr_H2_b020,20,19,DISCOVER_CORE,73
hcr_H2_b020,20,19,EXPLORE_UNCOVERED,25
hcr_H2_b050,50,0,DISCOVER_CORE,87
hcr_H2_b050,50,0,EXPLORE_UNCOVERED,25
hcr_H2_b050,50,1,DISCOVER_CORE,86
hcr_H2_b050,50,1,EXPLORE_UNCOVERED,25
hcr_H2_b050,50,2,DISCOVER_CORE,85
hcr_H2_b050,50,2,EXPLORE_UNCOVERED,25
hcr_H2_b050,50,3,DISCOVER_CORE,84
hcr_H2_b050,50,3,EXPLORE_UNCOVERED,25
hcr_H2_b050,50,4,DISCOVER_CORE,83
hcr_H2_b050,50,4,EXPLORE_UNCOVERED,25
hcr_H2_b050,50,5,DISCOVER_CORE,83
hcr_H2_b050,50,5,EXPLORE_UNCOVERED,25
hcr_H2_b050,50,6,DISCOVER_CORE,82
hcr_H2_b050,50,6,EXPLORE_UNCOVERED,25
hcr_H2_b050,50,7,DISCOVER_CORE,82
hcr_H2_b050,50,7,EXPLORE_UNCOVERED,25
hcr_H2_b050,50,8,DISCOVER_CORE,81
hcr_H2_b050,50,8,EXPLORE_UNCOVERED,25
hcr_H2_b050,50,9,DISCOVER_CORE,80
hcr_H2_b050,50,9,EXPLORE_UNCOVERED,25
hcr_H2_b050,50,10,DISCOVER_CORE,80
hcr_H2_b050,50,10,EXPLORE_UNCOVERED,25
hcr_H2_b050,50,11,DISCOVER_CORE,79
hcr_H2_b050,50,11,EXPLORE_UNCOVERED,25
hcr_H2_b050,50,12,DISCOVER_CORE,78
hcr_H2_b050,50,12,EXPLORE_UNCOVERED,25
hcr_H2_b050,50,13,DISCOVER_CORE,78
hcr_H2_b050,50,13,EXPLORE_UNCOVERED,25
hcr_H2_b050,50,14,DISCOVER_CORE,77
hcr_H2_b050,50,14,EXPLORE_UNCOVERED,25
hcr_H2_b050,50,15,DISCOVER_CORE,76
hcr_H2_b050,50,15,EXPLORE_UNCOVERED,25
hcr_H2_b050,50,16,DISCOVER_CORE,76
hcr_H2_b050,50,16,EXPLORE_UNCOVERED,25
hcr_H2_b050,50,17,DISCOVER_CORE,75
hcr_H2_b050,50,17,EXPLORE_UNCOVERED,25
hcr_H2_b050,50,18,DISCOVER_CORE,74
hcr_H2_b050,50,18,EXPLORE_UNCOVERED,25
hcr_H2_b050,50,19,DISCOVER_CORE,73
hcr_H2_b050,50,19,EXPLORE_UNCOVERED,25
hcr_H2_b050,50,20,DISCOVER_CORE,72
hcr_H2_b050,50,20,EXPLORE_UNCOVERED,25
hcr_H2_b050,50,21,DISCOVER_CORE,71
hcr_H2_b050,50,21,EXPLORE_UNCOVERED,25
hcr_H2_b050,50,22,DISCOVER_CORE,70
hcr_H2_b050,50,22,EXPLORE_UNCOVERED,25
hcr_H2_b050,50,23,DISCOVER_CORE,69
hcr_H2_b050,50,23,EXPLORE_UNCOVERED,25
hcr_H2_b050,50,24,DISCOVER_CORE,68
hcr_H2_b050,50,24,EXPLORE_UNCOVERED,25
hcr_H2_b050,50,25,DISCOVER_CORE,67
hcr_H2_b050,50,25,EXPLORE_UNCOVERED,25
hcr_H2_b050,50,26,DISCOVER_CORE,66
hcr_H2_b050,50,26,EXPLORE_UNCOVERED,25
hcr_H2_b050,50,27,DISCOVER_CORE,65
hcr_H2_b050,50,27,EXPLORE_UNCOVERED,25
hcr_H2_b050,50,28,DISCOVER_CORE,64
hcr_H2_b050,50,28,EXPLORE_UNCOVERED,25
hcr_H2_b050,50,29,DISCOVER_CORE,63
hcr_H2_b050,50,29,EXPLORE_UNCOVERED,25
hcr_H2_b050,50,30,DISCOVER_CORE,62
hcr_H2_b050,50,30,EXPLORE_UNCOVERED,25
hcr_H2_b050,50,31,DISCOVER_CORE,61
hcr_H2_b050,50,31,EXPLORE_UNCOVERED,25
hcr_H2_b050,50,32,DISCOVER_CORE,60
hcr_H2_b050,50,32,EXPLORE_UNCOVERED,25
hcr_H2_b050,50,33,DISCOVER_CORE,59
hcr_H2_b050,50,33,EXPLORE_UNCOVERED,25
hcr_H2_b050,50,34,DISCOVER_CORE,58
hcr_H2_b050,50,34,EXPLORE_UNCOVERED,25
hcr_H2_b050,50,35,DISCOVER_CORE,57
hcr_H2_b050,50,35,EXPLORE_UNCOVERED,25
hcr_H2_b050,50,36,DISCOVER_CORE,56
hcr_H2_b050,50,36,EXPLORE_UNCOVERED,25
hcr_H2_b050,50,37,DISCOVER_CORE,55
hcr_H2_b050,50,37,EXPLORE_UNCOVERED,25
hcr_H2_b050,50,38,DISCOVER_CORE,54
hcr_H2_b050,50,38,EXPLORE_UNCOVERED,25
hcr_H2_b050,50,39,DISCOVER_CORE,53
hcr_H2_b050,50,39,EXPLORE_UNCOVERED,25
hcr_H2_b050,50,40,DISCOVER_CORE,52
hcr_H2_b050,50,40,EXPLORE_UNCOVERED,25
hcr_H2_b050,50,41,DISCOVER_CORE,51
hcr_H2_b050,50,41,EXPLORE_UNCOVERED,25
hcr_H2_b050,50,42,DISCOVER_CORE,50
hcr_H2_b050,50,42,EXPLORE_UNCOVERED,25
hcr_H2_b050,50,43,DISCOVER_CORE,49
hcr_H2_b050,50,43,EXPLORE_UNCOVERED,25
hcr_H2_b050,50,44,DISCOVER_CORE,48
hcr_H2_b050,50,44,EXPLORE_UNCOVERED,25
hcr_H2_b050,50,45,DISCOVER_CORE,47
hcr_H2_b050,50,45,EXPLORE_UNCOVERED,25
hcr_H2_b050,50,46,DISCOVER_CORE,46
hcr_H2_b050,50,46,EXPLORE_UNCOVERED,25
hcr_H2_b050,50,47,DISCOVER_CORE,45
hcr_H2_b050,50,47,EXPLORE_UNCOVERED,25
hcr_H2_b050,50,48,DISCOVER_CORE,44
hcr_H2_b050,50,48,EXPLORE_UNCOVERED,25
hcr_H2_b050,50,49,DISCOVER_CORE,43
hcr_H2_b050,50,49,EXPLORE_UNCOVERED,25
hcr_H2_b080,80,0,DISCOVER_CORE,87
hcr_H2_b080,80,0,EXPLORE_UNCOVERED,25
hcr_H2_b080,80,1,DISCOVER_CORE,86
hcr_H2_b080,80,1,EXPLORE_UNCOVERED,25
hcr_H2_b080,80,2,DISCOVER_CORE,85
hcr_H2_b080,80,2,EXPLORE_UNCOVERED,25
hcr_H2_b080,80,3,DISCOVER_CORE,84
hcr_H2_b080,80,3,EXPLORE_UNCOVERED,25
hcr_H2_b080,80,4,DISCOVER_CORE,83
hcr_H2_b080,80,4,EXPLORE_UNCOVERED,25
hcr_H2_b080,80,5,DISCOVER_CORE,83
hcr_H2_b080,80,5,EXPLORE_UNCOVERED,25
hcr_H2_b080,80,6,DISCOVER_CORE,82
hcr_H2_b080,80,6,EXPLORE_UNCOVERED,25
hcr_H2_b080,80,7,DISCOVER_CORE,82
hcr_H2_b080,80,7,EXPLORE_UNCOVERED,25
hcr_H2_b080,80,8,DISCOVER_CORE,81
hcr_H2_b080,80,8,EXPLORE_UNCOVERED,25
hcr_H2_b080,80,9,DISCOVER_CORE,80
hcr_H2_b080,80,9,EXPLORE_UNCOVERED,25
hcr_H2_b080,80,10,DISCOVER_CORE,80
hcr_H2_b080,80,10,EXPLORE_UNCOVERED,25
hcr_H2_b080,80,11,DISCOVER_CORE,79
hcr_H2_b080,80,11,EXPLORE_UNCOVERED,25
hcr_H2_b080,80,12,DISCOVER_CORE,78
hcr_H2_b080,80,12,EXPLORE_UNCOVERED,25
hcr_H2_b080,80,13,DISCOVER_CORE,78
hcr_H2_b080,80,13,EXPLORE_UNCOVERED,25
hcr_H2_b080,80,14,DISCOVER_CORE,77
hcr_H2_b080,80,14,EXPLORE_UNCOVERED,25
hcr_H2_b080,80,15,DISCOVER_CORE,76
hcr_H2_b080,80,15,EXPLORE_UNCOVERED,25
hcr_H2_b080,80,16,DISCOVER_CORE,76
hcr_H2_b080,80,16,EXPLORE_UNCOVERED,25
hcr_H2_b080,80,17,DISCOVER_CORE,75
hcr_H2_b080,80,17,EXPLORE_UNCOVERED,25
hcr_H2_b080,80,18,DISCOVER_CORE,74
hcr_H2_b080,80,18,EXPLORE_UNCOVERED,25
hcr_H2_b080,80,19,DISCOVER_CORE,73
hcr_H2_b080,80,19,EXPLORE_UNCOVERED,25
hcr_H2_b080,80,20,DISCOVER_CORE,72
hcr_H2_b080,80,20,EXPLORE_UNCOVERED,25
hcr_H2_b080,80,21,DISCOVER_CORE,71
hcr_H2_b080,80,21,EXPLORE_UNCOVERED,25
hcr_H2_b080,80,22,DISCOVER_CORE,70
hcr_H2_b080,80,22,EXPLORE_UNCOVERED,25
hcr_H2_b080,80,23,DISCOVER_CORE,69
hcr_H2_b080,80,23,EXPLORE_UNCOVERED,25
hcr_H2_b080,80,24,DISCOVER_CORE,68
hcr_H2_b080,80,24,EXPLORE_UNCOVERED,25
hcr_H2_b080,80,25,DISCOVER_CORE,67
hcr_H2_b080,80,25,EXPLORE_UNCOVERED,25
hcr_H2_b080,80,26,DISCOVER_CORE,66
hcr_H2_b080,80,26,EXPLORE_UNCOVERED,25
hcr_H2_b080,80,27,DISCOVER_CORE,65
hcr_H2_b080,80,27,EXPLORE_UNCOVERED,25
hcr_H2_b080,80,28,DISCOVER_CORE,64
hcr_H2_b080,80,28,EXPLORE_UNCOVERED,25
hcr_H2_b080,80,29,DISCOVER_CORE,63
hcr_H2_b080,80,29,EXPLORE_UNCOVERED,25
hcr_H2_b080,80,30,DISCOVER_CORE,62
hcr_H2_b080,80,30,EXPLORE_UNCOVERED,25
hcr_H2_b080,80,31,DISCOVER_CORE,61
hcr_H2_b080,80,31,EXPLORE_UNCOVERED,25
hcr_H2_b080,80,32,DISCOVER_CORE,60
hcr_H2_b080,80,32,EXPLORE_UNCOVERED,25
hcr_H2_b080,80,33,DISCOVER_CORE,59
hcr_H2_b080,80,33,EXPLORE_UNCOVERED,25
hcr_H2_b080,80,34,DISCOVER_CORE,58
hcr_H2_b080,80,34,EXPLORE_UNCOVERED,25
hcr_H2_b080,80,35,DISCOVER_CORE,57
hcr_H2_b080,80,35,EXPLORE_UNCOVERED,25
hcr_H2_b080,80,36,DISCOVER_CORE,56
hcr_H2_b080,80,36,EXPLORE_UNCOVERED,25
hcr_H2_b080,80,37,DISCOVER_CORE,55
hcr_H2_b080,80,37,EXPLORE_UNCOVERED,25
hcr_H2_b080,80,38,DISCOVER_CORE,54
hcr_H2_b080,80,38,EXPLORE_UNCOVERED,25
hcr_H2_b080,80,39,DISCOVER_CORE,53
hcr_H2_b080,80,39,EXPLORE_UNCOVERED,25
hcr_H2_b080,80,40,DISCOVER_CORE,52
hcr_H2_b080,80,40,EXPLORE_UNCOVERED,25
hcr_H2_b080,80,41,DISCOVER_CORE,51
hcr_H2_b080,80,41,EXPLORE_UNCOVERED,25
hcr_H2_b080,80,42,DISCOVER_CORE,50
hcr_H2_b080,80,42,EXPLORE_UNCOVERED,25
hcr_H2_b080,80,43,DISCOVER_CORE,49
hcr_H2_b080,80,43,EXPLORE_UNCOVERED,25
hcr_H2_b080,80,44,DISCOVER_CORE,48
hcr_H2_b080,80,44,EXPLORE_UNCOVERED,25
hcr_H2_b080,80,45,DISCOVER_CORE,47
hcr_H2_b080,80,45,EXPLORE_UNCOVERED,25
hcr_H2_b080,80,46,DISCOVER_CORE,46
hcr_H2_b080,80,46,EXPLORE_UNCOVERED,25
hcr_H2_b080,80,47,DISCOVER_CORE,45
hcr_H2_b080,80,47,EXPLORE_UNCOVERED,25
hcr_H2_b080,80,48,DISCOVER_CORE,44
hcr_H2_b080,80,48,EXPLORE_UNCOVERED,25
hcr_H2_b080,80,49,DISCOVER_CORE,43
hcr_H2_b080,80,49,EXPLORE_UNCOVERED,25
hcr_H2_b080,80,50,DISCOVER_CORE,42
hcr_H2_b080,80,50,EXPLORE_UNCOVERED,25
hcr_H2_b080,80,51,DISCOVER_CORE,41
hcr_H2_b080,80,51,EXPLORE_UNCOVERED,25
hcr_H2_b080,80,52,DISCOVER_CORE,40
hcr_H2_b080,80,52,EXPLORE_UNCOVERED,25
hcr_H2_b080,80,53,DISCOVER_CORE,39
hcr_H2_b080,80,53,EXPLORE_UNCOVERED,25
hcr_H2_b080,80,54,DISCOVER_CORE,38
hcr_H2_b080,80,54,EXPLORE_UNCOVERED,25
hcr_H2_b080,80,55,DISCOVER_CORE,37
hcr_H2_b080,80,55,EXPLORE_UNCOVERED,25
hcr_H2_b080,80,56,DISCOVER_CORE,37
hcr_H2_b080,80,56,EXPLORE_UNCOVERED,25
hcr_H2_b080,80,57,DISCOVER_CORE,37
hcr_H2_b080,80,57,EXPLORE_UNCOVERED,25
hcr_H2_b080,80,58,DISCOVER_CORE,36
hcr_H2_b080,80,58,EXPLORE_UNCOVERED,25
hcr_H2_b080,80,59,DISCOVER_CORE,36
hcr_H2_b080,80,59,EXPLORE_UNCOVERED,25
hcr_H2_b080,80,60,DISCOVER_CORE,36
hcr_H2_b080,80,60,EXPLORE_UNCOVERED,25
hcr_H2_b080,80,61,DISCOVER_CORE,36
hcr_H2_b080,80,61,EXPLORE_UNCOVERED,25
hcr_H2_b080,80,62,DISCOVER_CORE,35
hcr_H2_b080,80,62,EXPLORE_UNCOVERED,25
hcr_H2_b080,80,63,DISCOVER_CORE,34
hcr_H2_b080,80,63,EXPLORE_UNCOVERED,25
hcr_H2_b080,80,64,DISCOVER_CORE,33
hcr_H2_b080,80,64,EXPLORE_UNCOVERED,25
hcr_H2_b080,80,65,DISCOVER_CORE,32
hcr_H2_b080,80,65,EXPLORE_UNCOVERED,25
hcr_H2_b080,80,66,DISCOVER_CORE,31
hcr_H2_b080,80,66,EXPLORE_UNCOVERED,25
hcr_H2_b080,80,67,DISCOVER_CORE,30
hcr_H2_b080,80,67,EXPLORE_UNCOVERED,25
hcr_H2_b080,80,68,DISCOVER_CORE,29
hcr_H2_b080,80,68,EXPLORE_UNCOVERED,25
hcr_H2_b080,80,69,DISCOVER_CORE,28
hcr_H2_b080,80,69,EXPLORE_UNCOVERED,25
hcr_H2_b080,80,70,DISCOVER_CORE,27
hcr_H2_b080,80,70,EXPLORE_UNCOVERED,25
hcr_H2_b080,80,71,DISCOVER_CORE,27
hcr_H2_b080,80,71,EXPLORE_UNCOVERED,25
hcr_H2_b080,80,72,DISCOVER_CORE,26
hcr_H2_b080,80,72,EXPLORE_UNCOVERED,25
hcr_H2_b080,80,73,DISCOVER_CORE,25
hcr_H2_b080,80,73,EXPLORE_UNCOVERED,25
hcr_H2_b080,80,74,DISCOVER_CORE,25
hcr_H2_b080,80,74,EXPLORE_UNCOVERED,25
hcr_H2_b080,80,75,DISCOVER_CORE,24
hcr_H2_b080,80,75,EXPLORE_UNCOVERED,25
hcr_H2_b080,80,76,DISCOVER_CORE,23
hcr_H2_b080,80,76,EXPLORE_UNCOVERED,25
hcr_H2_b080,80,77,DISCOVER_CORE,22
hcr_H2_b080,80,77,EXPLORE_UNCOVERED,25
hcr_H2_b080,80,78,DISCOVER_CORE,22
hcr_H2_b080,80,78,EXPLORE_UNCOVERED,25
hcr_H2_b080,80,79,DISCOVER_CORE,21
hcr_H2_b080,80,79,EXPLORE_UNCOVERED,25
hcr_H2_b100,100,0,DISCOVER_CORE,87
hcr_H2_b100,100,0,EXPLORE_UNCOVERED,25
hcr_H2_b100,100,1,DISCOVER_CORE,86
hcr_H2_b100,100,1,EXPLORE_UNCOVERED,25
hcr_H2_b100,100,2,DISCOVER_CORE,85
hcr_H2_b100,100,2,EXPLORE_UNCOVERED,25
hcr_H2_b100,100,3,DISCOVER_CORE,84
hcr_H2_b100,100,3,EXPLORE_UNCOVERED,25
hcr_H2_b100,100,4,DISCOVER_CORE,83
hcr_H2_b100,100,4,EXPLORE_UNCOVERED,25
hcr_H2_b100,100,5,DISCOVER_CORE,83
hcr_H2_b100,100,5,EXPLORE_UNCOVERED,25
hcr_H2_b100,100,6,DISCOVER_CORE,82
hcr_H2_b100,100,6,EXPLORE_UNCOVERED,25
hcr_H2_b100,100,7,DISCOVER_CORE,82
hcr_H2_b100,100,7,EXPLORE_UNCOVERED,25
hcr_H2_b100,100,8,DISCOVER_CORE,81
hcr_H2_b100,100,8,EXPLORE_UNCOVERED,25
hcr_H2_b100,100,9,DISCOVER_CORE,80
hcr_H2_b100,100,9,EXPLORE_UNCOVERED,25
hcr_H2_b100,100,10,DISCOVER_CORE,80
hcr_H2_b100,100,10,EXPLORE_UNCOVERED,25
hcr_H2_b100,100,11,DISCOVER_CORE,79
hcr_H2_b100,100,11,EXPLORE_UNCOVERED,25
hcr_H2_b100,100,12,DISCOVER_CORE,78
hcr_H2_b100,100,12,EXPLORE_UNCOVERED,25
hcr_H2_b100,100,13,DISCOVER_CORE,78
hcr_H2_b100,100,13,EXPLORE_UNCOVERED,25
hcr_H2_b100,100,14,DISCOVER_CORE,77
hcr_H2_b100,100,14,EXPLORE_UNCOVERED,25
hcr_H2_b100,100,15,DISCOVER_CORE,76
hcr_H2_b100,100,15,EXPLORE_UNCOVERED,25
hcr_H2_b100,100,16,DISCOVER_CORE,76
hcr_H2_b100,100,16,EXPLORE_UNCOVERED,25
hcr_H2_b100,100,17,DISCOVER_CORE,75
hcr_H2_b100,100,17,EXPLORE_UNCOVERED,25
hcr_H2_b100,100,18,DISCOVER_CORE,74
hcr_H2_b100,100,18,EXPLORE_UNCOVERED,25
hcr_H2_b100,100,19,DISCOVER_CORE,73
hcr_H2_b100,100,19,EXPLORE_UNCOVERED,25
hcr_H2_b100,100,20,DISCOVER_CORE,72
hcr_H2_b100,100,20,EXPLORE_UNCOVERED,25
hcr_H2_b100,100,21,DISCOVER_CORE,71
hcr_H2_b100,100,21,EXPLORE_UNCOVERED,25
hcr_H2_b100,100,22,DISCOVER_CORE,70
hcr_H2_b100,100,22,EXPLORE_UNCOVERED,25
hcr_H2_b100,100,23,DISCOVER_CORE,69
hcr_H2_b100,100,23,EXPLORE_UNCOVERED,25
hcr_H2_b100,100,24,DISCOVER_CORE,68
hcr_H2_b100,100,24,EXPLORE_UNCOVERED,25
hcr_H2_b100,100,25,DISCOVER_CORE,67
hcr_H2_b100,100,25,EXPLORE_UNCOVERED,25
hcr_H2_b100,100,26,DISCOVER_CORE,66
hcr_H2_b100,100,26,EXPLORE_UNCOVERED,25
hcr_H2_b100,100,27,DISCOVER_CORE,65
hcr_H2_b100,100,27,EXPLORE_UNCOVERED,25
hcr_H2_b100,100,28,DISCOVER_CORE,64
hcr_H2_b100,100,28,EXPLORE_UNCOVERED,25
hcr_H2_b100,100,29,DISCOVER_CORE,63
hcr_H2_b100,100,29,EXPLORE_UNCOVERED,25
hcr_H2_b100,100,30,DISCOVER_CORE,62
hcr_H2_b100,100,30,EXPLORE_UNCOVERED,25
hcr_H2_b100,100,31,DISCOVER_CORE,61
hcr_H2_b100,100,31,EXPLORE_UNCOVERED,25
hcr_H2_b100,100,32,DISCOVER_CORE,60
hcr_H2_b100,100,32,EXPLORE_UNCOVERED,25
hcr_H2_b100,100,33,DISCOVER_CORE,59
hcr_H2_b100,100,33,EXPLORE_UNCOVERED,25
hcr_H2_b100,100,34,DISCOVER_CORE,58
hcr_H2_b100,100,34,EXPLORE_UNCOVERED,25
hcr_H2_b100,100,35,DISCOVER_CORE,57
hcr_H2_b100,100,35,EXPLORE_UNCOVERED,25
hcr_H2_b100,100,36,DISCOVER_CORE,56
hcr_H2_b100,100,36,EXPLORE_UNCOVERED,25
hcr_H2_b100,100,37,DISCOVER_CORE,55
hcr_H2_b100,100,37,EXPLORE_UNCOVERED,25
hcr_H2_b100,100,38,DISCOVER_CORE,54
hcr_H2_b100,100,38,EXPLORE_UNCOVERED,25
hcr_H2_b100,100,39,DISCOVER_CORE,53
hcr_H2_b100,100,39,EXPLORE_UNCOVERED,25
hcr_H2_b100,100,40,DISCOVER_CORE,52
hcr_H2_b100,100,40,EXPLORE_UNCOVERED,25
hcr_H2_b100,100,41,DISCOVER_CORE,51
hcr_H2_b100,100,41,EXPLORE_UNCOVERED,25
hcr_H2_b100,100,42,DISCOVER_CORE,50
hcr_H2_b100,100,42,EXPLORE_UNCOVERED,25
hcr_H2_b100,100,43,DISCOVER_CORE,49
hcr_H2_b100,100,43,EXPLORE_UNCOVERED,25
hcr_H2_b100,100,44,DISCOVER_CORE,48
hcr_H2_b100,100,44,EXPLORE_UNCOVERED,25
hcr_H2_b100,100,45,DISCOVER_CORE,47
hcr_H2_b100,100,45,EXPLORE_UNCOVERED,25
hcr_H2_b100,100,46,DISCOVER_CORE,46
hcr_H2_b100,100,46,EXPLORE_UNCOVERED,25
hcr_H2_b100,100,47,DISCOVER_CORE,45
hcr_H2_b100,100,47,EXPLORE_UNCOVERED,25
hcr_H2_b100,100,48,DISCOVER_CORE,44
hcr_H2_b100,100,48,EXPLORE_UNCOVERED,25
hcr_H2_b100,100,49,DISCOVER_CORE,43
hcr_H2_b100,100,49,EXPLORE_UNCOVERED,25
