variant,budget,materializer,logical_calls,event_precision,event_recall,event_f1,event_count_error,predicted_event_count,reference_event_count,tiou_03,tiou_05,matched_mean_iou,overmerge,oversplit,returned_seconds,overcoverage_ratio,event_recall_per_returned_minute
H3,20,k3_bridge_safe,20,1.0,0.07692307692307693,0.14285714285714288,24.0,2.0,26.0,0.0,0.0,0.09695786864930933,0.0,0.0,20.0,0.13495276653171537,0.23076923076923078
H3,50,original_k3,50,1.0,0.15384615384615385,0.2666666666666667,22.0,4.0,26.0,0.0,0.0,0.0630622676579899,1.0,0.0,60.0,0.4048582995951461,0.15384615384615385
H3,50,k3_bridge_safe,50,1.0,0.19230769230769232,0.32258064516129037,21.0,5.0,26.0,0.0,0.0,0.07378314745971919,0.0,0.0,50.0,0.3373819163292884,0.23076923076923078
H3,80,original_k3,80,0.875,0.2692307692307692,0.411764705882353,18.0,8.0,26.0,0.0,0.0,0.06603558151884682,1.0,1.0,100.0,0.6747638326585768,0.16153846153846152
H3,80,k3_bridge_safe,80,0.8888888888888888,0.3076923076923077,0.4571428571428572,17.0,9.0,26.0,0.0,0.0,0.07236446716232052,0.0,1.0,90.0,0.6072874493927192,0.20512820512820515
H3,100,original_k3,100,0.9,0.34615384615384615,0.5,16.0,10.0,26.0,0.0,0.0,0.06302767451465562,1.0,1.0,120.0,0.8097165991902922,0.17307692307692307
H3,100,k3_bridge_safe,100,0.9090909090909091,0.38461538461538464,0.5405405405405405,15.0,11.0,26.0,0.0,0.0,0.06839157372985369,0.0,1.0,110.0,0.7422402159244345,0.20979020979020982
H4,5,original_k3,5,0.0,0.0,0.0,26.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H4,5,k3_bridge_safe,5,0.0,0.0,0.0,26.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H4,10,original_k3,10,1.0,0.038461538461538464,0.07407407407407407,25.0,1.0,26.0,0.0,0.0,0.12391573729863686,0.0,0.0,10.0,0.06747638326585768,0.23076923076923078
H4,10,k3_bridge_safe,10,1.0,0.038461538461538464,0.07407407407407407,25.0,1.0,26.0,0.0,0.0,0.12391573729863686,0.0,0.0,10.0,0.06747638326585768,0.23076923076923078
H4,20,original_k3,20,1.0,0.07692307692307693,0.14285714285714288,24.0,2.0,26.0,0.0,0.0,0.09695786864930933,0.0,0.0,20.0,0.13495276653171537,0.23076923076923078
H4,20,k3_bridge_safe,20,1.0,0.07692307692307693,0.14285714285714288,24.0,2.0,26.0,0.0,0.0,0.09695786864930933,0.0,0.0,20.0,0.13495276653171537,0.23076923076923078
H4,50,original_k3,50,1.0,0.15384615384615385,0.2666666666666667,22.0,4.0,26.0,0.0,0.0,0.0630622676579899,1.0,0.0,60.0,0.4048582995951461,0.15384615384615385
H4,50,k3_bridge_safe,50,1.0,0.19230769230769232,0.32258064516129037,21.0,5.0,26.0,0.0,0.0,0.07378314745971919,0.0,0.0,50.0,0.3373819163292884,0.23076923076923078
H4,80,original_k3,80,0.875,0.2692307692307692,0.411764705882353,18.0,8.0,26.0,0.0,0.0,0.06603558151884682,1.0,1.0,100.0,0.6747638326585768,0.16153846153846152
H4,80,k3_bridge_safe,80,0.8888888888888888,0.3076923076923077,0.4571428571428572,17.0,9.0,26.0,0.0,0.0,0.07236446716232052,0.0,1.0,90.0,0.6072874493927192,0.20512820512820515
H4,100,original_k3,100,0.9,0.34615384615384615,0.5,16.0,10.0,26.0,0.0,0.0,0.06302767451465562,1.0,1.0,120.0,0.8097165991902922,0.17307692307692307
H4,100,k3_bridge_safe,100,0.9090909090909091,0.38461538461538464,0.5405405405405405,15.0,11.0,26.0,0.0,0.0,0.06839157372985369,0.0,1.0,110.0,0.7422402159244345,0.20979020979020982
