check,status,detail
ARC-refinement@th0.5 B=5 s=4 K4_gap_duration_negative_barrier_selected_expand negative barrier,PASS,negatives=4
ARC-refinement@th0.5 B=5 s=4 K4 expansion no unconfirmed seed,PASS,every segment contains queried positive anchor
ARC-refinement@th0.1 B=80 s=0 oracle order,PASS,calls=0
ARC-refinement@th0.1 B=80 s=0 calls <= budget,PASS,calls=0 budget=80
ARC-refinement@th0.1 B=80 s=0 C6_full_EVENT_MATERIALIZE confirmed anchor,PASS,segments=0
ARC-refinement@th0.1 B=80 s=0 C6_full_EVENT_MATERIALIZE no NaN,PASS,segments=0
ARC-refinement@th0.1 B=80 s=0 C6_full_EVENT_MATERIALIZE nonnegative duration,PASS,segments=0
ARC-refinement@th0.1 B=80 s=0 C6_full_EVENT_MATERIALIZE duration cap,PASS,D_seg_max=60.0
ARC-refinement@th0.1 B=80 s=0 C6_full_EVENT_MATERIALIZE negative barrier,PASS,negatives=0
ARC-refinement@th0.1 B=80 s=0 K0_naive_merge confirmed anchor,PASS,segments=0
ARC-refinement@th0.1 B=80 s=0 K0_naive_merge no NaN,PASS,segments=0
ARC-refinement@th0.1 B=80 s=0 K0_naive_merge nonnegative duration,PASS,segments=0
ARC-refinement@th0.1 B=80 s=0 K1_gap_limited confirmed anchor,PASS,segments=0
ARC-refinement@th0.1 B=80 s=0 K1_gap_limited no NaN,PASS,segments=0
ARC-refinement@th0.1 B=80 s=0 K1_gap_limited nonnegative duration,PASS,segments=0
ARC-refinement@th0.1 B=80 s=0 K2_gap_duration confirmed anchor,PASS,segments=0
ARC-refinement@th0.1 B=80 s=0 K2_gap_duration no NaN,PASS,segments=0
ARC-refinement@th0.1 B=80 s=0 K2_gap_duration nonnegative duration,PASS,segments=0
ARC-refinement@th0.1 B=80 s=0 K2_gap_duration duration cap,PASS,D_seg_max=60.0
ARC-refinement@th0.1 B=80 s=0 K3_gap_duration_negative_barrier confirmed anchor,PASS,segments=0
ARC-refinement@th0.1 B=80 s=0 K3_gap_duration_negative_barrier no NaN,PASS,segments=0
ARC-refinement@th0.1 B=80 s=0 K3_gap_duration_negative_barrier nonnegative duration,PASS,segments=0
ARC-refinement@th0.1 B=80 s=0 K3_gap_duration_negative_barrier duration cap,PASS,D_seg_max=60.0
ARC-refinement@th0.1 B=80 s=0 K3_gap_duration_negative_barrier negative barrier,PASS,negatives=0
ARC-refinement@th0.1 B=80 s=0 K4_gap_duration_negative_barrier_selected_expand confirmed anchor,PASS,segments=0
ARC-refinement@th0.1 B=80 s=0 K4_gap_duration_negative_barrier_selected_expand no NaN,PASS,segments=0
ARC-refinement@th0.1 B=80 s=0 K4_gap_duration_negative_barrier_selected_expand nonnegative duration,PASS,segments=0
ARC-refinement@th0.1 B=80 s=0 K4_gap_duration_negative_barrier_selected_expand duration cap,PASS,D_seg_max=60.0
ARC-refinement@th0.1 B=80 s=0 K4_gap_duration_negative_barrier_selected_expand negative barrier,PASS,negatives=0
ARC-refinement@th0.1 B=80 s=0 K4 expansion no unconfirmed seed,PASS,every segment contains queried positive anchor
ARC-refinement@th0.2 B=80 s=0 oracle order,PASS,calls=0
ARC-refinement@th0.2 B=80 s=0 calls <= budget,PASS,calls=0 budget=80
ARC-refinement@th0.2 B=80 s=0 C6_full_EVENT_MATERIALIZE confirmed anchor,PASS,segments=0
ARC-refinement@th0.2 B=80 s=0 C6_full_EVENT_MATERIALIZE no NaN,PASS,segments=0
ARC-refinement@th0.2 B=80 s=0 C6_full_EVENT_MATERIALIZE nonnegative duration,PASS,segments=0
ARC-refinement@th0.2 B=80 s=0 C6_full_EVENT_MATERIALIZE duration cap,PASS,D_seg_max=60.0
ARC-refinement@th0.2 B=80 s=0 C6_full_EVENT_MATERIALIZE negative barrier,PASS,negatives=0
ARC-refinement@th0.2 B=80 s=0 K0_naive_merge confirmed anchor,PASS,segments=0
ARC-refinement@th0.2 B=80 s=0 K0_naive_merge no NaN,PASS,segments=0
ARC-refinement@th0.2 B=80 s=0 K0_naive_merge nonnegative duration,PASS,segments=0
ARC-refinement@th0.2 B=80 s=0 K1_gap_limited confirmed anchor,PASS,segments=0
ARC-refinement@th0.2 B=80 s=0 K1_gap_limited no NaN,PASS,segments=0
ARC-refinement@th0.2 B=80 s=0 K1_gap_limited nonnegative duration,PASS,segments=0
ARC-refinement@th0.2 B=80 s=0 K2_gap_duration confirmed anchor,PASS,segments=0
ARC-refinement@th0.2 B=80 s=0 K2_gap_duration no NaN,PASS,segments=0
ARC-refinement@th0.2 B=80 s=0 K2_gap_duration nonnegative duration,PASS,segments=0
ARC-refinement@th0.2 B=80 s=0 K2_gap_duration duration cap,PASS,D_seg_max=60.0
ARC-refinement@th0.2 B=80 s=0 K3_gap_duration_negative_barrier confirmed anchor,PASS,segments=0
ARC-refinement@th0.2 B=80 s=0 K3_gap_duration_negative_barrier no NaN,PASS,segments=0
ARC-refinement@th0.2 B=80 s=0 K3_gap_duration_negative_barrier nonnegative duration,PASS,segments=0
ARC-refinement@th0.2 B=80 s=0 K3_gap_duration_negative_barrier duration cap,PASS,D_seg_max=60.0
ARC-refinement@th0.2 B=80 s=0 K3_gap_duration_negative_barrier negative barrier,PASS,negatives=0
ARC-refinement@th0.2 B=80 s=0 K4_gap_duration_negative_barrier_selected_expand confirmed anchor,PASS,segments=0
ARC-refinement@th0.2 B=80 s=0 K4_gap_duration_negative_barrier_selected_expand no NaN,PASS,segments=0
ARC-refinement@th0.2 B=80 s=0 K4_gap_duration_negative_barrier_selected_expand nonnegative duration,PASS,segments=0
ARC-refinement@th0.2 B=80 s=0 K4_gap_duration_negative_barrier_selected_expand duration cap,PASS,D_seg_max=60.0
ARC-refinement@th0.2 B=80 s=0 K4_gap_duration_negative_barrier_selected_expand negative barrier,PASS,negatives=0
ARC-refinement@th0.2 B=80 s=0 K4 expansion no unconfirmed seed,PASS,every segment contains queried positive anchor
ARC-refinement@th0.3 B=80 s=0 oracle order,PASS,calls=44
ARC-refinement@th0.3 B=80 s=0 calls <= budget,PASS,calls=44 budget=80
ARC-refinement@th0.3 B=80 s=0 C6_full_EVENT_MATERIALIZE confirmed anchor,PASS,segments=5
ARC-refinement@th0.3 B=80 s=0 C6_full_EVENT_MATERIALIZE no NaN,PASS,segments=5
ARC-refinement@th0.3 B=80 s=0 C6_full_EVENT_MATERIALIZE nonnegative duration,PASS,segments=5
ARC-refinement@th0.3 B=80 s=0 C6_full_EVENT_MATERIALIZE duration cap,PASS,D_seg_max=60.0
ARC-refinement@th0.3 B=80 s=0 C6_full_EVENT_MATERIALIZE negative barrier,PASS,negatives=39
ARC-refinement@th0.3 B=80 s=0 K0_naive_merge confirmed anchor,PASS,segments=1
ARC-refinement@th0.3 B=80 s=0 K0_naive_merge no NaN,PASS,segments=1
ARC-refinement@th0.3 B=80 s=0 K0_naive_merge nonnegative duration,PASS,segments=1
ARC-refinement@th0.3 B=80 s=0 K1_gap_limited confirmed anchor,PASS,segments=5
ARC-refinement@th0.3 B=80 s=0 K1_gap_limited no NaN,PASS,segments=5
ARC-refinement@th0.3 B=80 s=0 K1_gap_limited nonnegative duration,PASS,segments=5
ARC-refinement@th0.3 B=80 s=0 K2_gap_duration confirmed anchor,PASS,segments=5
ARC-refinement@th0.3 B=80 s=0 K2_gap_duration no NaN,PASS,segments=5
ARC-refinement@th0.3 B=80 s=0 K2_gap_duration nonnegative duration,PASS,segments=5
ARC-refinement@th0.3 B=80 s=0 K2_gap_duration duration cap,PASS,D_seg_max=60.0
ARC-refinement@th0.3 B=80 s=0 K3_gap_duration_negative_barrier confirmed anchor,PASS,segments=5
ARC-refinement@th0.3 B=80 s=0 K3_gap_duration_negative_barrier no NaN,PASS,segments=5
ARC-refinement@th0.3 B=80 s=0 K3_gap_duration_negative_barrier nonnegative duration,PASS,segments=5
ARC-refinement@th0.3 B=80 s=0 K3_gap_duration_negative_barrier duration cap,PASS,D_seg_max=60.0
ARC-refinement@th0.3 B=80 s=0 K3_gap_duration_negative_barrier negative barrier,PASS,negatives=39
ARC-refinement@th0.3 B=80 s=0 K4_gap_duration_negative_barrier_selected_expand confirmed anchor,PASS,segments=5
ARC-refinement@th0.3 B=80 s=0 K4_gap_duration_negative_barrier_selected_expand no NaN,PASS,segments=5
ARC-refinement@th0.3 B=80 s=0 K4_gap_duration_negative_barrier_selected_expand nonnegative duration,PASS,segments=5
ARC-refinement@th0.3 B=80 s=0 K4_gap_duration_negative_barrier_selected_expand duration cap,PASS,D_seg_max=60.0
ARC-refinement@th0.3 B=80 s=0 K4_gap_duration_negative_barrier_selected_expand negative barrier,PASS,negatives=39
ARC-refinement@th0.3 B=80 s=0 K4 expansion no unconfirmed seed,PASS,every segment contains queried positive anchor
ARC-refinement@th0.4 B=80 s=0 oracle order,PASS,calls=80
ARC-refinement@th0.4 B=80 s=0 calls <= budget,PASS,calls=80 budget=80
ARC-refinement@th0.4 B=80 s=0 C6_full_EVENT_MATERIALIZE confirmed anchor,PASS,segments=15
ARC-refinement@th0.4 B=80 s=0 C6_full_EVENT_MATERIALIZE no NaN,PASS,segments=15
ARC-refinement@th0.4 B=80 s=0 C6_full_EVENT_MATERIALIZE nonnegative duration,PASS,segments=15
ARC-refinement@th0.4 B=80 s=0 C6_full_EVENT_MATERIALIZE duration cap,PASS,D_seg_max=60.0
ARC-refinement@th0.4 B=80 s=0 C6_full_EVENT_MATERIALIZE negative barrier,PASS,negatives=58
ARC-refinement@th0.4 B=80 s=0 K0_naive_merge confirmed anchor,PASS,segments=1
ARC-refinement@th0.4 B=80 s=0 K0_naive_merge no NaN,PASS,segments=1
ARC-refinement@th0.4 B=80 s=0 K0_naive_merge nonnegative duration,PASS,segments=1
ARC-refinement@th0.4 B=80 s=0 K1_gap_limited confirmed anchor,PASS,segments=9
ARC-refinement@th0.4 B=80 s=0 K1_gap_limited no NaN,PASS,segments=9
ARC-refinement@th0.4 B=80 s=0 K1_gap_limited nonnegative duration,PASS,segments=9
ARC-refinement@th0.4 B=80 s=0 K2_gap_duration confirmed anchor,PASS,segments=12
ARC-refinement@th0.4 B=80 s=0 K2_gap_duration no NaN,PASS,segments=12
ARC-refinement@th0.4 B=80 s=0 K2_gap_duration nonnegative duration,PASS,segments=12
ARC-refinement@th0.4 B=80 s=0 K2_gap_duration duration cap,PASS,D_seg_max=60.0
ARC-refinement@th0.4 B=80 s=0 K3_gap_duration_negative_barrier confirmed anchor,PASS,segments=15
ARC-refinement@th0.4 B=80 s=0 K3_gap_duration_negative_barrier no NaN,PASS,segments=15
ARC-refinement@th0.4 B=80 s=0 K3_gap_duration_negative_barrier nonnegative duration,PASS,segments=15
ARC-refinement@th0.4 B=80 s=0 K3_gap_duration_negative_barrier duration cap,PASS,D_seg_max=60.0
ARC-refinement@th0.4 B=80 s=0 K3_gap_duration_negative_barrier negative barrier,PASS,negatives=58
ARC-refinement@th0.4 B=80 s=0 K4_gap_duration_negative_barrier_selected_expand confirmed anchor,PASS,segments=15
ARC-refinement@th0.4 B=80 s=0 K4_gap_duration_negative_barrier_selected_expand no NaN,PASS,segments=15
ARC-refinement@th0.4 B=80 s=0 K4_gap_duration_negative_barrier_selected_expand nonnegative duration,PASS,segments=15
ARC-refinement@th0.4 B=80 s=0 K4_gap_duration_negative_barrier_selected_expand duration cap,PASS,D_seg_max=60.0
ARC-refinement@th0.4 B=80 s=0 K4_gap_duration_negative_barrier_selected_expand negative barrier,PASS,negatives=58
ARC-refinement@th0.4 B=80 s=0 K4 expansion no unconfirmed seed,PASS,every segment contains queried positive anchor
ARC-refinement@th0.5 B=80 s=0 oracle order,PASS,calls=62
ARC-refinement@th0.5 B=80 s=0 calls <= budget,PASS,calls=62 budget=80
ARC-refinement@th0.5 B=80 s=0 C6_full_EVENT_MATERIALIZE confirmed anchor,PASS,segments=10
ARC-refinement@th0.5 B=80 s=0 C6_full_EVENT_MATERIALIZE no NaN,PASS,segments=10
ARC-refinement@th0.5 B=80 s=0 C6_full_EVENT_MATERIALIZE nonnegative duration,PASS,segments=10
ARC-refinement@th0.5 B=80 s=0 C6_full_EVENT_MATERIALIZE duration cap,PASS,D_seg_max=60.0
ARC-refinement@th0.5 B=80 s=0 C6_full_EVENT_MATERIALIZE negative barrier,PASS,negatives=44
ARC-refinement@th0.5 B=80 s=0 K0_naive_merge confirmed anchor,PASS,segments=1
ARC-refinement@th0.5 B=80 s=0 K0_naive_merge no NaN,PASS,segments=1
ARC-refinement@th0.5 B=80 s=0 K0_naive_merge nonnegative duration,PASS,segments=1
ARC-refinement@th0.5 B=80 s=0 K1_gap_limited confirmed anchor,PASS,segments=6
ARC-refinement@th0.5 B=80 s=0 K1_gap_limited no NaN,PASS,segments=6
ARC-refinement@th0.5 B=80 s=0 K1_gap_limited nonnegative duration,PASS,segments=6
ARC-refinement@th0.5 B=80 s=0 K2_gap_duration confirmed anchor,PASS,segments=9
ARC-refinement@th0.5 B=80 s=0 K2_gap_duration no NaN,PASS,segments=9
ARC-refinement@th0.5 B=80 s=0 K2_gap_duration nonnegative duration,PASS,segments=9
ARC-refinement@th0.5 B=80 s=0 K2_gap_duration duration cap,PASS,D_seg_max=60.0
ARC-refinement@th0.5 B=80 s=0 K3_gap_duration_negative_barrier confirmed anchor,PASS,segments=10
ARC-refinement@th0.5 B=80 s=0 K3_gap_duration_negative_barrier no NaN,PASS,segments=10
ARC-refinement@th0.5 B=80 s=0 K3_gap_duration_negative_barrier nonnegative duration,PASS,segments=10
ARC-refinement@th0.5 B=80 s=0 K3_gap_duration_negative_barrier duration cap,PASS,D_seg_max=60.0
ARC-refinement@th0.5 B=80 s=0 K3_gap_duration_negative_barrier negative barrier,PASS,negatives=44
ARC-refinement@th0.5 B=80 s=0 K4_gap_duration_negative_barrier_selected_expand confirmed anchor,PASS,segments=10
ARC-refinement@th0.5 B=80 s=0 K4_gap_duration_negative_barrier_selected_expand no NaN,PASS,segments=10
ARC-refinement@th0.5 B=80 s=0 K4_gap_duration_negative_barrier_selected_expand nonnegative duration,PASS,segments=10
ARC-refinement@th0.5 B=80 s=0 K4_gap_duration_negative_barrier_selected_expand duration cap,PASS,D_seg_max=60.0
ARC-refinement@th0.5 B=80 s=0 K4_gap_duration_negative_barrier_selected_expand negative barrier,PASS,negatives=44
ARC-refinement@th0.5 B=80 s=0 K4 expansion no unconfirmed seed,PASS,every segment contains queried positive anchor
ARC-refinement@th0.1 B=80 s=1 oracle order,PASS,calls=1
ARC-refinement@th0.1 B=80 s=1 calls <= budget,PASS,calls=1 budget=80
ARC-refinement@th0.1 B=80 s=1 C6_full_EVENT_MATERIALIZE confirmed anchor,PASS,segments=1
ARC-refinement@th0.1 B=80 s=1 C6_full_EVENT_MATERIALIZE no NaN,PASS,segments=1
ARC-refinement@th0.1 B=80 s=1 C6_full_EVENT_MATERIALIZE nonnegative duration,PASS,segments=1
ARC-refinement@th0.1 B=80 s=1 C6_full_EVENT_MATERIALIZE duration cap,PASS,D_seg_max=60.0
ARC-refinement@th0.1 B=80 s=1 C6_full_EVENT_MATERIALIZE negative barrier,PASS,negatives=0
ARC-refinement@th0.1 B=80 s=1 K0_naive_merge confirmed anchor,PASS,segments=1
ARC-refinement@th0.1 B=80 s=1 K0_naive_merge no NaN,PASS,segments=1
ARC-refinement@th0.1 B=80 s=1 K0_naive_merge nonnegative duration,PASS,segments=1
ARC-refinement@th0.1 B=80 s=1 K1_gap_limited confirmed anchor,PASS,segments=1
ARC-refinement@th0.1 B=80 s=1 K1_gap_limited no NaN,PASS,segments=1
ARC-refinement@th0.1 B=80 s=1 K1_gap_limited nonnegative duration,PASS,segments=1
ARC-refinement@th0.1 B=80 s=1 K2_gap_duration confirmed anchor,PASS,segments=1
ARC-refinement@th0.1 B=80 s=1 K2_gap_duration no NaN,PASS,segments=1
ARC-refinement@th0.1 B=80 s=1 K2_gap_duration nonnegative duration,PASS,segments=1
ARC-refinement@th0.1 B=80 s=1 K2_gap_duration duration cap,PASS,D_seg_max=60.0
ARC-refinement@th0.1 B=80 s=1 K3_gap_duration_negative_barrier confirmed anchor,PASS,segments=1
ARC-refinement@th0.1 B=80 s=1 K3_gap_duration_negative_barrier no NaN,PASS,segments=1
ARC-refinement@th0.1 B=80 s=1 K3_gap_duration_negative_barrier nonnegative duration,PASS,segments=1
ARC-refinement@th0.1 B=80 s=1 K3_gap_duration_negative_barrier duration cap,PASS,D_seg_max=60.0
ARC-refinement@th0.1 B=80 s=1 K3_gap_duration_negative_barrier negative barrier,PASS,negatives=0
ARC-refinement@th0.1 B=80 s=1 K4_gap_duration_negative_barrier_selected_expand confirmed anchor,PASS,segments=1
ARC-refinement@th0.1 B=80 s=1 K4_gap_duration_negative_barrier_selected_expand no NaN,PASS,segments=1
ARC-refinement@th0.1 B=80 s=1 K4_gap_duration_negative_barrier_selected_expand nonnegative duration,PASS,segments=1
ARC-refinement@th0.1 B=80 s=1 K4_gap_duration_negative_barrier_selected_expand duration cap,PASS,D_seg_max=60.0
ARC-refinement@th0.1 B=80 s=1 K4_gap_duration_negative_barrier_selected_expand negative barrier,PASS,negatives=0
ARC-refinement@th0.1 B=80 s=1 K4 expansion no unconfirmed seed,PASS,every segment contains queried positive anchor
ARC-refinement@th0.2 B=80 s=1 oracle order,PASS,calls=1
ARC-refinement@th0.2 B=80 s=1 calls <= budget,PASS,calls=1 budget=80
ARC-refinement@th0.2 B=80 s=1 C6_full_EVENT_MATERIALIZE confirmed anchor,PASS,segments=0
ARC-refinement@th0.2 B=80 s=1 C6_full_EVENT_MATERIALIZE no NaN,PASS,segments=0
ARC-refinement@th0.2 B=80 s=1 C6_full_EVENT_MATERIALIZE nonnegative duration,PASS,segments=0
ARC-refinement@th0.2 B=80 s=1 C6_full_EVENT_MATERIALIZE duration cap,PASS,D_seg_max=60.0
ARC-refinement@th0.2 B=80 s=1 C6_full_EVENT_MATERIALIZE negative barrier,PASS,negatives=1
ARC-refinement@th0.2 B=80 s=1 K0_naive_merge confirmed anchor,PASS,segments=0
ARC-refinement@th0.2 B=80 s=1 K0_naive_merge no NaN,PASS,segments=0
ARC-refinement@th0.2 B=80 s=1 K0_naive_merge nonnegative duration,PASS,segments=0
ARC-refinement@th0.2 B=80 s=1 K1_gap_limited confirmed anchor,PASS,segments=0
ARC-refinement@th0.2 B=80 s=1 K1_gap_limited no NaN,PASS,segments=0
ARC-refinement@th0.2 B=80 s=1 K1_gap_limited nonnegative duration,PASS,segments=0
ARC-refinement@th0.2 B=80 s=1 K2_gap_duration confirmed anchor,PASS,segments=0
ARC-refinement@th0.2 B=80 s=1 K2_gap_duration no NaN,PASS,segments=0
ARC-refinement@th0.2 B=80 s=1 K2_gap_duration nonnegative duration,PASS,segments=0
ARC-refinement@th0.2 B=80 s=1 K2_gap_duration duration cap,PASS,D_seg_max=60.0
ARC-refinement@th0.2 B=80 s=1 K3_gap_duration_negative_barrier confirmed anchor,PASS,segments=0
ARC-refinement@th0.2 B=80 s=1 K3_gap_duration_negative_barrier no NaN,PASS,segments=0
ARC-refinement@th0.2 B=80 s=1 K3_gap_duration_negative_barrier nonnegative duration,PASS,segments=0
ARC-refinement@th0.2 B=80 s=1 K3_gap_duration_negative_barrier duration cap,PASS,D_seg_max=60.0
ARC-refinement@th0.2 B=80 s=1 K3_gap_duration_negative_barrier negative barrier,PASS,negatives=1
ARC-refinement@th0.2 B=80 s=1 K4_gap_duration_negative_barrier_selected_expand confirmed anchor,PASS,segments=0
ARC-refinement@th0.2 B=80 s=1 K4_gap_duration_negative_barrier_selected_expand no NaN,PASS,segments=0
ARC-refinement@th0.2 B=80 s=1 K4_gap_duration_negative_barrier_selected_expand nonnegative duration,PASS,segments=0
ARC-refinement@th0.2 B=80 s=1 K4_gap_duration_negative_barrier_selected_expand duration cap,PASS,D_seg_max=60.0
ARC-refinement@th0.2 B=80 s=1 K4_gap_duration_negative_barrier_selected_expand negative barrier,PASS,negatives=1
ARC-refinement@th0.2 B=80 s=1 K4 expansion no unconfirmed seed,PASS,every segment contains queried positive anchor
ARC-refinement@th0.3 B=80 s=1 oracle order,PASS,calls=46
ARC-refinement@th0.3 B=80 s=1 calls <= budget,PASS,calls=46 budget=80
ARC-refinement@th0.3 B=80 s=1 C6_full_EVENT_MATERIALIZE confirmed anchor,PASS,segments=6
ARC-refinement@th0.3 B=80 s=1 C6_full_EVENT_MATERIALIZE no NaN,PASS,segments=6
ARC-refinement@th0.3 B=80 s=1 C6_full_EVENT_MATERIALIZE nonnegative duration,PASS,segments=6
ARC-refinement@th0.3 B=80 s=1 C6_full_EVENT_MATERIALIZE duration cap,PASS,D_seg_max=60.0
ARC-refinement@th0.3 B=80 s=1 C6_full_EVENT_MATERIALIZE negative barrier,PASS,negatives=38
ARC-refinement@th0.3 B=80 s=1 K0_naive_merge confirmed anchor,PASS,segments=1
ARC-refinement@th0.3 B=80 s=1 K0_naive_merge no NaN,PASS,segments=1
ARC-refinement@th0.3 B=80 s=1 K0_naive_merge nonnegative duration,PASS,segments=1
ARC-refinement@th0.3 B=80 s=1 K1_gap_limited confirmed anchor,PASS,segments=6
ARC-refinement@th0.3 B=80 s=1 K1_gap_limited no NaN,PASS,segments=6
ARC-refinement@th0.3 B=80 s=1 K1_gap_limited nonnegative duration,PASS,segments=6
ARC-refinement@th0.3 B=80 s=1 K2_gap_duration confirmed anchor,PASS,segments=6
ARC-refinement@th0.3 B=80 s=1 K2_gap_duration no NaN,PASS,segments=6
ARC-refinement@th0.3 B=80 s=1 K2_gap_duration nonnegative duration,PASS,segments=6
ARC-refinement@th0.3 B=80 s=1 K2_gap_duration duration cap,PASS,D_seg_max=60.0
ARC-refinement@th0.3 B=80 s=1 K3_gap_duration_negative_barrier confirmed anchor,PASS,segments=6
ARC-refinement@th0.3 B=80 s=1 K3_gap_duration_negative_barrier no NaN,PASS,segments=6
ARC-refinement@th0.3 B=80 s=1 K3_gap_duration_negative_barrier nonnegative duration,PASS,segments=6
ARC-refinement@th0.3 B=80 s=1 K3_gap_duration_negative_barrier duration cap,PASS,D_seg_max=60.0
ARC-refinement@th0.3 B=80 s=1 K3_gap_duration_negative_barrier negative barrier,PASS,negatives=38
ARC-refinement@th0.3 B=80 s=1 K4_gap_duration_negative_barrier_selected_expand confirmed anchor,PASS,segments=6
ARC-refinement@th0.3 B=80 s=1 K4_gap_duration_negative_barrier_selected_expand no NaN,PASS,segments=6
ARC-refinement@th0.3 B=80 s=1 K4_gap_duration_negative_barrier_selected_expand nonnegative duration,PASS,segments=6
ARC-refinement@th0.3 B=80 s=1 K4_gap_duration_negative_barrier_selected_expand duration cap,PASS,D_seg_max=60.0
ARC-refinement@th0.3 B=80 s=1 K4_gap_duration_negative_barrier_selected_expand negative barrier,PASS,negatives=38
ARC-refinement@th0.3 B=80 s=1 K4 expansion no unconfirmed seed,PASS,every segment contains queried positive anchor
ARC-refinement@th0.4 B=80 s=1 oracle order,PASS,calls=80
ARC-refinement@th0.4 B=80 s=1 calls <= budget,PASS,calls=80 budget=80
ARC-refinement@th0.4 B=80 s=1 C6_full_EVENT_MATERIALIZE confirmed anchor,PASS,segments=13
ARC-refinement@th0.4 B=80 s=1 C6_full_EVENT_MATERIALIZE no NaN,PASS,segments=13
ARC-refinement@th0.4 B=80 s=1 C6_full_EVENT_MATERIALIZE nonnegative duration,PASS,segments=13
ARC-refinement@th0.4 B=80 s=1 C6_full_EVENT_MATERIALIZE duration cap,PASS,D_seg_max=60.0
ARC-refinement@th0.4 B=80 s=1 C6_full_EVENT_MATERIALIZE negative barrier,PASS,negatives=59
ARC-refinement@th0.4 B=80 s=1 K0_naive_merge confirmed anchor,PASS,segments=1
ARC-refinement@th0.4 B=80 s=1 K0_naive_merge no NaN,PASS,segments=1
ARC-refinement@th0.4 B=80 s=1 K0_naive_merge nonnegative duration,PASS,segments=1
ARC-refinement@th0.4 B=80 s=1 K1_gap_limited confirmed anchor,PASS,segments=9
ARC-refinement@th0.4 B=80 s=1 K1_gap_limited no NaN,PASS,segments=9
ARC-refinement@th0.4 B=80 s=1 K1_gap_limited nonnegative duration,PASS,segments=9
ARC-refinement@th0.4 B=80 s=1 K2_gap_duration confirmed anchor,PASS,segments=11
ARC-refinement@th0.4 B=80 s=1 K2_gap_duration no NaN,PASS,segments=11
ARC-refinement@th0.4 B=80 s=1 K2_gap_duration nonnegative duration,PASS,segments=11
ARC-refinement@th0.4 B=80 s=1 K2_gap_duration duration cap,PASS,D_seg_max=60.0
ARC-refinement@th0.4 B=80 s=1 K3_gap_duration_negative_barrier confirmed anchor,PASS,segments=13
ARC-refinement@th0.4 B=80 s=1 K3_gap_duration_negative_barrier no NaN,PASS,segments=13
ARC-refinement@th0.4 B=80 s=1 K3_gap_duration_negative_barrier nonnegative duration,PASS,segments=13
ARC-refinement@th0.4 B=80 s=1 K3_gap_duration_negative_barrier duration cap,PASS,D_seg_max=60.0
ARC-refinement@th0.4 B=80 s=1 K3_gap_duration_negative_barrier negative barrier,PASS,negatives=59
ARC-refinement@th0.4 B=80 s=1 K4_gap_duration_negative_barrier_selected_expand confirmed anchor,PASS,segments=13
ARC-refinement@th0.4 B=80 s=1 K4_gap_duration_negative_barrier_selected_expand no NaN,PASS,segments=13
ARC-refinement@th0.4 B=80 s=1 K4_gap_duration_negative_barrier_selected_expand nonnegative duration,PASS,segments=13
ARC-refinement@th0.4 B=80 s=1 K4_gap_duration_negative_barrier_selected_expand duration cap,PASS,D_seg_max=60.0
ARC-refinement@th0.4 B=80 s=1 K4_gap_duration_negative_barrier_selected_expand negative barrier,PASS,negatives=59
ARC-refinement@th0.4 B=80 s=1 K4 expansion no unconfirmed seed,PASS,every segment contains queried positive anchor
ARC-refinement@th0.5 B=80 s=1 oracle order,PASS,calls=6
ARC-refinement@th0.5 B=80 s=1 calls <= budget,PASS,calls=6 budget=80
ARC-refinement@th0.5 B=80 s=1 C6_full_EVENT_MATERIALIZE confirmed anchor,PASS,segments=1
ARC-refinement@th0.5 B=80 s=1 C6_full_EVENT_MATERIALIZE no NaN,PASS,segments=1
ARC-refinement@th0.5 B=80 s=1 C6_full_EVENT_MATERIALIZE nonnegative duration,PASS,segments=1
ARC-refinement@th0.5 B=80 s=1 C6_full_EVENT_MATERIALIZE duration cap,PASS,D_seg_max=60.0
ARC-refinement@th0.5 B=80 s=1 C6_full_EVENT_MATERIALIZE negative barrier,PASS,negatives=2
ARC-refinement@th0.5 B=80 s=1 K0_naive_merge confirmed anchor,PASS,segments=1
ARC-refinement@th0.5 B=80 s=1 K0_naive_merge no NaN,PASS,segments=1
ARC-refinement@th0.5 B=80 s=1 K0_naive_merge nonnegative duration,PASS,segments=1
ARC-refinement@th0.5 B=80 s=1 K1_gap_limited confirmed anchor,PASS,segments=1
ARC-refinement@th0.5 B=80 s=1 K1_gap_limited no NaN,PASS,segments=1
ARC-refinement@th0.5 B=80 s=1 K1_gap_limited nonnegative duration,PASS,segments=1
ARC-refinement@th0.5 B=80 s=1 K2_gap_duration confirmed anchor,PASS,segments=1
ARC-refinement@th0.5 B=80 s=1 K2_gap_duration no NaN,PASS,segments=1
ARC-refinement@th0.5 B=80 s=1 K2_gap_duration nonnegative duration,PASS,segments=1
ARC-refinement@th0.5 B=80 s=1 K2_gap_duration duration cap,PASS,D_seg_max=60.0
ARC-refinement@th0.5 B=80 s=1 K3_gap_duration_negative_barrier confirmed anchor,PASS,segments=1
ARC-refinement@th0.5 B=80 s=1 K3_gap_duration_negative_barrier no NaN,PASS,segments=1
ARC-refinement@th0.5 B=80 s=1 K3_gap_duration_negative_barrier nonnegative duration,PASS,segments=1
ARC-refinement@th0.5 B=80 s=1 K3_gap_duration_negative_barrier duration cap,PASS,D_seg_max=60.0
ARC-refinement@th0.5 B=80 s=1 K3_gap_duration_negative_barrier negative barrier,PASS,negatives=2
